,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume
0,0,0,0,0,2017-07-05,49.18,49.25,48.849998,48.93,48.93,1738500
1,1,1,1,1,2017-07-06,49.0,49.349998,48.849998,48.880001,48.880001,850400
2,2,2,2,2,2017-07-07,48.470001,48.540001,48.150002,48.450001,48.450001,2878300
3,3,3,3,3,2017-07-10,48.57,48.919998,48.540001,48.66,48.66,795600
4,4,4,4,4,2017-07-11,48.529999,49.049999,48.43,49.02,49.02,1064800
5,5,5,5,5,2017-07-12,49.32,49.5,49.040001,49.060001,49.060001,1911400
6,6,6,6,6,2017-07-13,49.080002,49.23,48.93,49.23,49.23,824000
7,7,7,7,7,2017-07-14,49.68,49.91,49.5,49.66,49.66,916600
8,8,8,8,8,2017-07-17,49.66,49.75,49.349998,49.490002,49.490002,1109800
9,9,9,9,9,2017-07-18,49.91,49.91,49.450001,49.68,49.68,783700
10,10,10,10,10,2017-07-19,49.669998,50.139999,49.630001,50.130001,50.130001,639800
11,11,11,11,11,2017-07-20,50.720001,50.75,50.130001,50.349998,50.349998,2142400
12,12,12,12,12,2017-07-21,50.200001,50.27,49.400002,49.619999,49.619999,1935400
13,13,13,13,13,2017-07-24,49.93,49.959999,49.549999,49.610001,49.610001,700100
