,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume
0,0,0,0,0,2017-07-05,45.049999,45.060001,44.439999,44.650002,44.072002,14853400
1,1,1,1,1,2017-07-06,43.970001,44.09,43.52,43.52,43.52,16854300
2,2,2,2,2,2017-07-07,43.529999,43.599998,43.209999,43.48,43.48,12198500
3,3,3,3,3,2017-07-10,43.48,43.509998,43.18,43.200001,43.200001,12272500
4,4,4,4,4,2017-07-11,43.209999,43.220001,42.799999,42.889999,42.889999,13249500
5,5,5,5,5,2017-07-12,43.040001,43.380001,43.0,43.220001,43.220001,11388900
6,6,6,6,6,2017-07-13,43.150002,43.540001,43.040001,43.490002,43.490002,12140500
7,7,7,7,7,2017-07-14,43.630001,43.82,43.41,43.560001,43.560001,11986800
8,8,8,8,8,2017-07-17,43.630001,43.860001,43.560001,43.66,43.66,10804200
9,9,9,9,9,2017-07-18,43.66,43.790001,43.259998,43.360001,43.360001,15417100
10,10,10,10,10,2017-07-19,43.349998,43.540001,43.200001,43.450001,43.450001,13940800
11,11,11,11,11,2017-07-20,43.5,44.580002,43.48,44.220001,44.220001,19309100
12,12,12,12,12,2017-07-21,44.23,44.310001,43.82,44.23,44.23,11426600
13,13,13,13,13,2017-07-24,44.150002,44.209999,43.68,43.709999,43.709999,11559300
