Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,144.880005,145.300003,143.100006,143.5,143.5,14258300
2017-07-05,143.690002,144.789993,142.720001,144.089996,144.089996,21569600
2017-07-06,143.020004,143.5,142.410004,142.729996,142.729996,24128800
2017-07-07,142.899994,144.75,142.899994,144.179993,144.179993,19201700
2017-07-10,144.110001,145.949997,143.369995,145.059998,145.059998,21090600
2017-07-11,144.729996,145.850006,144.380005,145.529999,145.529999,19781800
2017-07-12,145.869995,146.179993,144.820007,145.740005,145.740005,24884500
2017-07-13,145.5,148.490005,145.440002,147.770004,147.770004,25199400
2017-07-14,147.970001,149.330002,147.330002,149.039993,149.039993,20064900
2017-07-17,148.820007,150.867996,148.570007,149.559998,149.559998,21712367
